scene,interval,last_input_frame,target_frame,iou,baseline_iou
8,8,76,84,0.441733,0.369316
8,9,76,85,0.420870,0.358497
8,1,77,78,0.553069,0.488553
8,2,77,79,0.505677,0.425071
8,3,77,80,0.504555,0.410594
8,4,77,81,0.499667,0.407098
8,5,77,82,0.492494,0.382002
8,6,77,83,0.475077,0.381577
8,7,77,84,0.465617,0.372767
8,8,77,85,0.441830,0.364425
8,9,77,86,0.436610,0.361833
8,1,78,79,0.563494,0.489515
8,2,78,80,0.523587,0.445305
8,3,78,81,0.501986,0.419842
8,4,78,82,0.486019,0.404959
8,5,78,83,0.476442,0.392653
8,6,78,84,0.466312,0.386040
8,7,78,85,0.439589,0.362695
8,8,78,86,0.434268,0.366782
8,9,78,87,0.411611,0.354798
8,1,79,80,0.579995,0.506334
8,2,79,81,0.536602,0.456614
8,3,79,82,0.493952,0.436555
8,4,79,83,0.481409,0.411523
8,5,79,84,0.463012,0.390596
8,6,79,85,0.433204,0.366921
8,7,79,86,0.427706,0.362584
8,8,79,87,0.417223,0.358018
8,9,79,88,0.408591,0.361725
8,1,80,81,0.589133,0.506475
8,2,80,82,0.529581,0.461389
8,3,80,83,0.497720,0.442963
8,4,80,84,0.473868,0.409108
8,5,80,85,0.447617,0.398664
8,6,80,86,0.432386,0.373542
8,7,80,87,0.419813,0.365677
8,8,80,88,0.417697,0.369945
8,9,80,89,0.416845,0.362777
8,1,81,82,0.581334,0.492514
8,2,81,83,0.529678,0.458850
8,3,81,84,0.492973,0.434898
8,4,81,85,0.463951,0.391249
8,5,81,86,0.449659,0.382251
8,6,81,87,0.434046,0.377830
8,7,81,88,0.427572,0.366486
8,8,81,89,0.422619,0.355990
8,9,81,90,0.410500,0.364046
8,1,82,83,0.600661,0.495666
8,2,82,84,0.540452,0.471197
8,3,82,85,0.497435,0.436917
8,4,82,86,0.477880,0.413890
8,5,82,87,0.459957,0.383925
8,6,82,88,0.449494,0.381992
8,7,82,89,0.438368,0.380305
8,8,82,90,0.424761,0.365486
8,9,82,91,0.421718,0.361875
8,1,83,84,0.605450,0.496258
8,2,83,85,0.535600,0.461893
8,3,83,86,0.505620,0.426672
8,4,83,87,0.481834,0.414811
8,5,83,88,0.468863,0.388381
8,6,83,89,0.456122,0.382412
8,7,83,90,0.436433,0.371878
8,8,83,91,0.436508,0.381212
8,9,83,92,0.428479,0.373575
8,1,84,85,0.599648,0.493478
8,2,84,86,0.549805,0.456174
8,3,84,87,0.511856,0.427628
8,4,84,88,0.498599,0.413948
8,5,84,89,0.484284,0.408580
8,6,84,90,0.465141,0.385706
8,7,84,91,0.456076,0.378685
8,8,84,92,0.448313,0.376782
8,9,84,93,0.439582,0.371502
8,1,85,86,0.621262,0.487824
8,2,85,87,0.555819,0.456396
8,3,85,88,0.527465,0.433529
8,4,85,89,0.511749,0.420279
8,5,85,90,0.488307,0.405143
8,6,85,91,0.478015,0.399740
8,7,85,92,0.469660,0.381658
8,8,85,93,0.460877,0.371601
8,9,85,94,0.454284,0.367931
8,1,86,87,0.644261,0.504762
8,2,86,88,0.585505,0.459934
8,3,86,89,0.559807,0.453529
8,4,86,90,0.529489,0.433568
8,5,86,91,0.513978,0.424420
8,6,86,92,0.497896,0.410161
8,7,86,93,0.481416,0.401118
8,8,86,94,0.467947,0.396574
8,9,86,95,0.454586,0.379482
8,1,87,88,0.659456,0.514612
8,2,87,89,0.600000,0.463150
8,3,87,90,0.568683,0.452097
8,4,87,91,0.550864,0.444359
8,5,87,92,0.526144,0.424048
8,6,87,93,0.509945,0.414630
8,7,87,94,0.497561,0.408971
8,8,87,95,0.478754,0.397543
8,9,87,96,0.471647,0.394154
8,1,88,89,0.658171,0.520930
8,2,88,90,0.595935,0.465148
8,3,88,91,0.567885,0.455828
8,4,88,92,0.546600,0.449211
8,5,88,93,0.522569,0.428571
8,6,88,94,0.511592,0.421193
8,7,88,95,0.493729,0.413253
8,8,88,96,0.485651,0.408225
8,9,88,97,0.481531,0.406821
8,1,89,90,0.653872,0.537295
8,2,89,91,0.612423,0.470139
8,3,89,92,0.581466,0.453455
8,4,89,93,0.553680,0.450436
8,5,89,94,0.542491,0.452404
8,6,89,95,0.523614,0.433263
8,7,89,96,0.513336,0.424852
8,8,89,97,0.505177,0.421777
8,9,89,98,0.490845,0.416508
8,1,90,91,0.664915,0.555280
8,2,90,92,0.619922,0.486155
8,3,90,93,0.588997,0.467150
8,4,90,94,0.569423,0.451487
8,5,90,95,0.547558,0.442063
8,6,90,96,0.542354,0.449484
8,7,90,97,0.535307,0.447143
8,8,90,98,0.515889,0.433628
8,9,90,99,0.507392,0.428793
96,1,19,20,0.822903,0.776119
96,2,19,21,0.802559,0.740176
96,3,19,22,0.799900,0.741710
96,4,19,23,0.806983,0.739052
96,5,19,24,0.789487,0.729863
96,6,19,25,0.773627,0.717200
96,7,19,26,0.800246,0.750258
96,8,19,27,0.821138,0.758922
96,9,19,28,0.842744,0.778323
96,1,20,21,0.806468,0.762632
96,2,20,22,0.797449,0.738565
96,3,20,23,0.802441,0.728770
96,4,20,24,0.792260,0.723548
96,5,20,25,0.774529,0.713102
96,6,20,26,0.800542,0.732376
96,7,20,27,0.826119,0.755407
96,8,20,28,0.846784,0.771635
96,9,20,29,0.832054,0.767454
96,1,21,22,0.807761,0.754228
96,2,21,23,0.808078,0.737295
96,3,21,24,0.788514,0.705198
96,4,21,25,0.777999,0.703166
96,5,21,26,0.802963,0.723464
96,6,21,27,0.828253,0.751942
96,7,21,28,0.848681,0.763669
96,8,21,29,0.837267,0.762650
96,9,21,30,0.849353,0.757654
96,1,22,23,0.818548,0.760910
96,2,22,24,0.791480,0.720930
96,3,22,25,0.778713,0.708181
96,4,22,26,0.808327,0.723623
96,5,22,27,0.826302,0.744000
96,6,22,28,0.847012,0.760684
96,7,22,29,0.838254,0.757355
96,8,22,30,0.850460,0.770277
96,9,22,31,0.844246,0.759510
96,1,23,24,0.799247,0.738696
96,2,23,25,0.776706,0.714137
96,3,23,26,0.805699,0.724173
96,4,23,27,0.827994,0.750322
96,5,23,28,0.849108,0.761548
96,6,23,29,0.842432,0.762350
96,7,23,30,0.853835,0.761016
96,8,23,31,0.850958,0.759927
96,9,23,32,0.854627,0.761387
96,1,24,25,0.778498,0.704266
96,2,24,26,0.805316,0.719380
96,3,24,27,0.834034,0.726408
96,4,24,28,0.852072,0.748835
96,5,24,29,0.840109,0.741818
96,6,24,30,0.855719,0.746428
96,7,24,31,0.850460,0.743956
96,8,24,32,0.855119,0.750910
96,9,24,33,0.863252,0.748577
96,1,25,26,0.803585,0.736759
96,2,25,27,0.827484,0.725348
96,3,25,28,0.850895,0.732990
